start_date,end_date,degree,university,department,location,pi,dissertation
2011,2017,Ph.D.,University of Wisconsin-Madison,Biomolecular Chemistry,"Madison, WI",John M. Denu,Mechanisms of mitochondrial protein acetylation
2008,2010,B.S.,University of Texas Permian Basin,Biology,"Odessa, TX",Tracie M. Gibson,Purification of the human T-cell leukemia virus
